,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
153,"{'DS': 10, 'FC': 8, 'FF': 4, 'FS': 8, 'FT': 1, 'G': 3}",104502,10,293,4,7,9.0,10.3,1.45,5.47,8,5.8,"{'media_pontos_mandante': 4.52, 'media_pontos_visitante': 7.07, 'media_minutos_jogados': 67, 'minutos_jogados': 93, 'scouts': {'media': {'FS': 1, 'FT': 0.12, 'G': 0.38, 'DS': 1.25, 'FC': 1, 'FF': 0.5}, 'mandante': {'FS': 5, 'FT': 1, 'G': 1, 'DS': 8, 'FC': 7, 'FF': 2}, 'visitante': {'FS': 3, 'G': 2, 'DS': 2, 'FC': 1, 'FF': 2}}}",christian,Christian,Christian,Christian Roberto Alves Cardoso,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,Provável
154,{},69022,10,293,5,6,0.0,5.0,0.0,0.0,0,6.8,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marcelo-cirino,Marcelo Cirino,M. Cirino,Marcelo Cirino da Silva,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Nulo
155,"{'A': 2, 'CA': 2, 'DS': 10, 'FC': 8, 'FD': 3, 'FF': 8, 'FS': 9, 'G': 1, 'I': 1}",69138,10,293,5,6,0.0,11.51,0.0,5.0,8,3.11,"{'media_pontos_mandante': 8.1, 'media_pontos_visitante': 1.9, 'media_minutos_jogados': 69, 'minutos_jogados': 63, 'scouts': {'media': {'FS': 1.12, 'A': 0.25, 'G': 0.12, 'I': 0.12, 'DS': 1.25, 'FC': 1, 'CA': 0.25, 'FF': 1, 'FD': 0.38}, 'mandante': {'FS': 7, 'A': 2, 'G': 1, 'I': 1, 'DS': 5, 'FC': 4, 'CA': 1, 'FF': 6, 'FD': 2}, 'visitante': {'FS': 2, 'DS': 5, 'FC': 4, 'CA': 1, 'FF': 2, 'FD': 1}}}",pablo,Pablo,Pablo,Pablo Felipe Teixeira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Nulo
156,"{'A': 2, 'CA': 1, 'DS': 8, 'FC': 4, 'FF': 1, 'FS': 1, 'SG': 2}",106950,10,293,2,7,8.2,5.29,0.71,5.74,5,5.29,"{'media_pontos_mandante': 5.27, 'media_pontos_visitante': 6.45, 'media_minutos_jogados': 94, 'minutos_jogados': 105, 'scouts': {'media': {'SG': 0.4, 'FS': 0.2, 'A': 0.4, 'DS': 1.6, 'FC': 0.8, 'CA': 0.2, 'FF': 0.2}, 'mandante': {'SG': 1, 'FS': 1, 'A': 1, 'DS': 6, 'FC': 3, 'CA': 1}, 'visitante': {'SG': 1, 'A': 1, 'DS': 2, 'FC': 1, 'FF': 1}}}",fernando,Fernando,Fernando,Fernando Augusto Pereira Bueno Júnior,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_DOiaQDY.png,Provável
157,"{'A': 1, 'CA': 2, 'DS': 4, 'FC': 8, 'FS': 6, 'I': 1, 'PC': 1}",72775,10,293,4,5,0.0,5.65,0.0,1.83,4,2.98,"{'media_pontos_mandante': 2.95, 'media_pontos_visitante': 0.7, 'media_minutos_jogados': 71, 'minutos_jogados': 33, 'scouts': {'media': {'FS': 1.5, 'A': 0.25, 'I': 0.25, 'DS': 1, 'FC': 2, 'CA': 0.5, 'PC': 0.25}, 'mandante': {'FS': 5, 'A': 1, 'I': 1, 'DS': 3, 'FC': 7, 'CA': 2, 'PC': 1}, 'visitante': {'FS': 1, 'DS': 1, 'FC': 1}}}",fernandinho,Fernandinho,Fernandinho,Fernando Luiz Rosa,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,Contundido
158,"{'A': 1, 'DS': 9, 'FC': 4, 'FD': 1, 'FS': 4}",63289,10,282,4,6,0.0,4.82,-0.21,1.97,9,-0.04,"{'media_pontos_mandante': 1.6, 'media_pontos_visitante': 2.28, 'media_minutos_jogados': 50, 'minutos_jogados': 24, 'scouts': {'media': {'FS': 0.44, 'A': 0.11, 'DS': 1, 'FC': 0.44, 'FD': 0.11}, 'mandante': {'FS': 1, 'A': 1, 'DS': 1, 'FC': 1}, 'visitante': {'FS': 3, 'DS': 8, 'FC': 3, 'FD': 1}}}",edenilson,Edenílson,Edenílson,Edenílson Andrade dos Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Nulo
159,"{'DS': 1, 'FS': 2}",68727,10,282,2,6,0.0,3.94,0.0,2.2,1,4.95,"{'media_pontos_mandante': 0, 'media_pontos_visitante': 2.2, 'media_minutos_jogados': 63, 'minutos_jogados': 63, 'scouts': {'media': {'FS': 2, 'DS': 1}, 'mandante': {}, 'visitante': {'FS': 2, 'DS': 1}}}",dodo,Dodô,Dodô,José Rodolfo Pires Ribeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,Nulo
160,"{'FC': 5, 'FS': 2}",70986,10,293,4,6,0.0,1.52,-0.53,-0.17,3,-0.01,"{'media_pontos_mandante': 0.4, 'media_pontos_visitante': -0.45, 'media_minutos_jogados': 44, 'minutos_jogados': 22, 'scouts': {'media': {'FS': 0.67, 'FC': 1.67}, 'mandante': {'FS': 2, 'FC': 2}, 'visitante': {'FC': 3}}}",leo-cittadini,Léo Cittadini,L. Cittadini,Leonardo Cittadini,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,Nulo
161,"{'CA': 2, 'DS': 3, 'FC': 4, 'FD': 2, 'FF': 1, 'FS': 2, 'G': 1, 'PS': 1}",69102,10,282,5,6,1.0,4.71,-0.51,2.27,6,0.62,"{'media_pontos_mandante': 5.1, 'media_pontos_visitante': 0.85, 'media_minutos_jogados': 62, 'minutos_jogados': 101, 'scouts': {'media': {'FS': 0.33, 'G': 0.17, 'DS': 0.5, 'FC': 0.67, 'CA': 0.33, 'FF': 0.17, 'FD': 0.33, 'PS': 0.17}, 'mandante': {'FS': 2, 'G': 1, 'DS': 1}, 'visitante': {'DS': 2, 'FC': 4, 'CA': 2, 'FF': 1, 'FD': 2, 'PS': 1}}}",vargas,Vargas,Vargas,Eduardo Jesús Vargas Rojas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Nulo
162,"{'A': 2, 'CA': 2, 'DS': 4, 'FC': 7, 'FD': 1, 'FF': 3, 'FS': 14, 'FT': 1, 'G': 4, 'I': 5}",70360,10,280,5,7,8.6,11.52,0.66,5.58,10,5.5,"{'media_pontos_mandante': 5.24, 'media_pontos_visitante': 5.92, 'media_minutos_jogados': 79, 'minutos_jogados': 77, 'scouts': {'media': {'FS': 1.4, 'A': 0.2, 'FT': 0.1, 'G': 0.4, 'I': 0.5, 'DS': 0.4, 'FC': 0.7, 'CA': 0.2, 'FF': 0.3, 'FD': 0.1}, 'mandante': {'FS': 5, 'A': 1, 'G': 2, 'I': 3, 'DS': 3, 'FC': 2, 'CA': 2, 'FF': 1, 'FD': 1}, 'visitante': {'FS': 9, 'A': 1, 'FT': 1, 'G': 2, 'I': 2, 'DS': 1, 'FC': 5, 'FF': 2}}}",eduardo-sasha,Eduardo Sasha,E. Sasha,Eduardo Colcenti Antunes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,Provável
163,"{'A': 1, 'CA': 1, 'DS': 19, 'FC': 6, 'FF': 2, 'FS': 8}",101594,10,293,4,7,5.7,7.19,0.14,3.82,8,3.65,"{'media_pontos_mandante': 3.47, 'media_pontos_visitante': 4.04, 'media_minutos_jogados': 71, 'minutos_jogados': 94, 'scouts': {'media': {'FS': 1, 'A': 0.12, 'DS': 2.38, 'FC': 0.75, 'CA': 0.12, 'FF': 0.25}, 'mandante': {'FS': 3, 'DS': 7, 'FC': 1, 'FF': 1}, 'visitante': {'FS': 5, 'A': 1, 'DS': 12, 'FC': 5, 'CA': 1, 'FF': 1}}}",hugo-moura,Hugo Moura,H. Moura,Hugo Moura Arruda da Silva,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xmqFuth.png,Provável
164,"{'A': 1, 'CA': 1, 'DS': 4, 'FC': 13, 'FD': 1, 'FS': 4, 'I': 1, 'SG': 4}",84263,10,282,3,7,1.4,7.65,-0.67,3.12,9,0.86,"{'media_pontos_mandante': 2.66, 'media_pontos_visitante': 3.68, 'media_minutos_jogados': 90, 'minutos_jogados': 101, 'scouts': {'media': {'SG': 0.44, 'FS': 0.44, 'A': 0.11, 'I': 0.11, 'DS': 0.44, 'FC': 1.44, 'CA': 0.11, 'FD': 0.11}, 'mandante': {'SG': 1, 'FS': 4, 'A': 1, 'I': 1, 'DS': 3, 'FC': 8, 'CA': 1, 'FD': 1}, 'visitante': {'SG': 3, 'DS': 1, 'FC': 5}}}",jemerson,Jemerson,Jemerson,Jemerson de Jesus Nascimento,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,Provável
165,"{'FC': 1, 'FD': 1, 'FF': 1, 'SG': 1}",102310,10,293,3,6,1.2,2.62,-0.03,2.23,3,0.77,"{'media_pontos_mandante': 0, 'media_pontos_visitante': 2.23, 'media_minutos_jogados': 37, 'minutos_jogados': 11, 'scouts': {'media': {'SG': 0.33, 'FC': 0.33, 'FF': 0.33, 'FD': 0.33}, 'mandante': {}, 'visitante': {'SG': 1, 'FC': 1, 'FF': 1, 'FD': 1}}}",matheus-felipe,Matheus Felipe,M. Felipe,Matheus Felipe Santos Nascimento,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,Nulo
166,"{'CA': 3, 'DS': 13, 'FC': 20, 'FD': 3, 'FF': 9, 'FS': 9, 'FT': 1, 'G': 2, 'I': 2, 'PC': 1}",85931,10,282,4,7,0.0,6.74,0.0,4.41,9,3.3,"{'media_pontos_mandante': 3.58, 'media_pontos_visitante': 5.08, 'media_minutos_jogados': 67, 'minutos_jogados': 94, 'scouts': {'media': {'FS': 1, 'FT': 0.11, 'G': 0.22, 'I': 0.22, 'DS': 1.44, 'FC': 2.22, 'CA': 0.33, 'FF': 1, 'FD': 0.33, 'PC': 0.11}, 'mandante': {'FS': 3, 'FT': 1, 'DS': 7, 'FC': 10, 'FF': 4, 'FD': 1}, 'visitante': {'FS': 6, 'G': 2, 'I': 2, 'DS': 6, 'FC': 10, 'CA': 3, 'FF': 5, 'FD': 2, 'PC': 1}}}",hyoran,Hyoran,Hyoran,Hyoran Kaue Dalmoro,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_we4xNWc.png,Provável
167,{},102796,10,293,5,6,0.0,2.0,0.0,0.0,0,2.54,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",julimar,Julimar,Julimar,Julimar Silva Oliveira Júnior,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_qjlY4KF.png,Nulo
168,{},103684,10,293,3,6,0.0,4.0,0.0,0.0,0,5.38,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",kaique-rocha,Kaíque Rocha,K. Rocha,Kaíque Rocha Lima,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,Nulo
169,{},110698,10,293,1,6,0.0,3.0,0.0,0.0,0,3.96,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",mycael,Mycael,Mycael,Mycael Pontes Moreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_4TEihe1.png,Nulo
170,"{'CA': 1, 'FC': 1, 'SG': 2}",52253,10,282,3,6,0.0,4.52,0.0,4.85,2,3.53,"{'media_pontos_mandante': -1, 'media_pontos_visitante': 4.85, 'media_minutos_jogados': 8, 'minutos_jogados': 3, 'scouts': {'media': {'SG': 0.67, 'FC': 0.33, 'CA': 0.33}, 'mandante': {'CA': 1}, 'visitante': {'SG': 2, 'FC': 1}}}",rever,Réver,Réver,Réver Humberto Alves Araújo,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Nulo
171,"{'CA': 4, 'CV': 1, 'DS': 7, 'FC': 9, 'FD': 4, 'FF': 1, 'FS': 5, 'G': 1, 'I': 2, 'SG': 2}",87853,10,282,3,7,2.2,9.72,-0.51,3.51,7,1.38,"{'media_pontos_mandante': 4.9, 'media_pontos_visitante': 2.48, 'media_minutos_jogados': 86, 'minutos_jogados': 101, 'scouts': {'media': {'SG': 0.29, 'FS': 0.71, 'G': 0.14, 'I': 0.29, 'DS': 1, 'FC': 1.29, 'CA': 0.57, 'CV': 0.14, 'FF': 0.14, 'FD': 0.57}, 'mandante': {'FS': 1, 'G': 1, 'I': 1, 'DS': 5, 'FC': 5, 'CA': 3, 'FD': 4}, 'visitante': {'SG': 2, 'FS': 4, 'I': 1, 'DS': 2, 'FC': 4, 'CA': 1, 'CV': 1, 'FF': 1}}}",mauricio-lemos,Mauricio Lemos,M. Lemos,Paolo Mauricio Lemos Merladett,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,Provável
172,{},89493,10,282,3,6,0.0,5.0,0.0,0.0,0,6.8,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",igor-rabello,Igor Rabello,I. Rabello,Igor Rabello da Costa,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,Nulo
173,"{'DS': 1, 'FC': 3, 'FF': 1, 'FS': 2}",107197,10,293,5,5,0.0,1.58,0.0,0.42,5,0.13,"{'media_pontos_mandante': 0.27, 'media_pontos_visitante': 0.65, 'media_minutos_jogados': 38, 'minutos_jogados': 12, 'scouts': {'media': {'FS': 0.4, 'DS': 0.2, 'FC': 0.6, 'FF': 0.2}, 'mandante': {'FS': 1, 'DS': 1, 'FC': 3}, 'visitante': {'FS': 1, 'FF': 1}}}",romulo,Rômulo,Rômulo,Rômulo José Cardoso da Cruz,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_A5prVgV.png,Contundido
174,{},50347,10,282,5,6,0.0,6.0,0.0,0.0,0,8.22,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",alan-kardec,Alan Kardec,A. Kardec,Alan Kardec de Sousa Pereira Júnior,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,Nulo
175,"{'A': 3, 'CA': 3, 'DS': 13, 'FC': 6, 'FD': 2, 'FF': 7, 'FS': 6, 'G': 2}",91908,10,282,5,7,2.8,8.31,-1.39,5.87,9,1.76,"{'media_pontos_mandante': 5.54, 'media_pontos_visitante': 6.28, 'media_minutos_jogados': 64, 'minutos_jogados': 77, 'scouts': {'media': {'FS': 0.67, 'A': 0.33, 'G': 0.22, 'DS': 1.44, 'FC': 0.67, 'CA': 0.33, 'FF': 0.78, 'FD': 0.22}, 'mandante': {'FS': 5, 'A': 1, 'G': 1, 'DS': 11, 'FC': 4, 'CA': 3, 'FF': 4}, 'visitante': {'FS': 1, 'A': 2, 'G': 1, 'DS': 2, 'FC': 2, 'FF': 3, 'FD': 2}}}",pavon,Pavón,Pavón,Cristian David Pavón,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,Provável
176,"{'CA': 3, 'DS': 21, 'FC': 16, 'FD': 1, 'FF': 2, 'FS': 11, 'FT': 1, 'I': 1}",100079,10,282,4,7,6.9,7.23,1.04,3.18,9,4.44,"{'media_pontos_mandante': 3.46, 'media_pontos_visitante': 2.82, 'media_minutos_jogados': 89, 'minutos_jogados': 101, 'scouts': {'media': {'FS': 1.22, 'FT': 0.11, 'I': 0.11, 'DS': 2.33, 'FC': 1.78, 'CA': 0.33, 'FF': 0.22, 'FD': 0.11}, 'mandante': {'FS': 6, 'I': 1, 'DS': 15, 'FC': 8, 'CA': 2, 'FF': 1}, 'visitante': {'FS': 5, 'FT': 1, 'DS': 6, 'FC': 8, 'CA': 1, 'FF': 1, 'FD': 1}}}",zaracho,Zaracho,Zaracho,Federico Matías Javier Zaracho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png,Provável
177,"{'A': 1, 'CA': 1, 'DS': 8, 'FC': 5, 'FF': 1, 'FS': 4, 'I': 1}",100084,10,282,4,6,8.4,6.0,0.99,2.96,5,5.44,"{'media_pontos_mandante': 3.83, 'media_pontos_visitante': 1.65, 'media_minutos_jogados': 37, 'minutos_jogados': 69, 'scouts': {'media': {'FS': 0.8, 'A': 0.2, 'I': 0.2, 'DS': 1.6, 'FC': 1, 'CA': 0.2, 'FF': 0.2}, 'mandante': {'FS': 3, 'A': 1, 'DS': 4, 'FC': 2, 'FF': 1}, 'visitante': {'FS': 1, 'I': 1, 'DS': 4, 'FC': 3, 'CA': 1}}}",igor-gomes,Igor Gomes,I. Gomes,Igor Silveira Gomes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_UzfIqe6.png,Nulo
178,"{'CA': 3, 'DS': 8, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 2}",82463,10,282,4,6,0.0,4.13,0.0,2.03,4,2.24,"{'media_pontos_mandante': 1.65, 'media_pontos_visitante': 2.4, 'media_minutos_jogados': 99, 'minutos_jogados': 108, 'scouts': {'media': {'FS': 0.5, 'DS': 2, 'FC': 1.25, 'CA': 0.75, 'FF': 0.25, 'FD': 0.25}, 'mandante': {'FS': 1, 'DS': 3, 'FC': 2, 'CA': 1, 'FF': 1}, 'visitante': {'FS': 1, 'DS': 5, 'FC': 3, 'CA': 2, 'FD': 1}}}",otavio,Otávio,Otávio,Otávio Henrique Passos Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,Nulo
179,"{'DS': 1, 'FC': 2, 'FS': 3, 'SG': 3}",104085,10,282,3,6,0.0,4.92,0.0,3.42,5,3.15,"{'media_pontos_mandante': 2.5, 'media_pontos_visitante': 4.03, 'media_minutos_jogados': 61, 'minutos_jogados': 101, 'scouts': {'media': {'SG': 0.6, 'FS': 0.6, 'DS': 0.2, 'FC': 0.4}, 'mandante': {'SG': 1}, 'visitante': {'SG': 2, 'FS': 3, 'DS': 1, 'FC': 2}}}",bruno-fuchs,Bruno Fuchs,B. Fuchs,Bruno de Lara Fuchs,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,Nulo
180,{},87228,10,282,2,6,0.0,9.13,-3.87,0.0,1,-0.01,"{'media_pontos_mandante': 0, 'media_pontos_visitante': 0, 'media_minutos_jogados': 32, 'minutos_jogados': 32, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",guilherme-arana,Guilherme Arana,G. Arana,Guilherme Antonio Arana Lopes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,Nulo
181,"{'CA': 1, 'DS': 6, 'FC': 7, 'FD': 4, 'FF': 2, 'FS': 3}",87009,10,284,4,6,1.7,4.59,-0.31,1.72,7,1.08,"{'media_pontos_mandante': 0.63, 'media_pontos_visitante': 2.52, 'media_minutos_jogados': 33, 'minutos_jogados': 17, 'scouts': {'media': {'FS': 0.43, 'DS': 0.86, 'FC': 1, 'CA': 0.14, 'FF': 0.29, 'FD': 0.57}, 'mandante': {'DS': 1, 'FC': 1, 'CA': 1, 'FF': 1, 'FD': 1}, 'visitante': {'FS': 3, 'DS': 5, 'FC': 6, 'FF': 1, 'FD': 3}}}",nathan,Nathan,Nathan,Nathan Allan de Souza,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,Nulo
182,"{'A': 2, 'DS': 5, 'FC': 7, 'FD': 6, 'FF': 8, 'FS': 10, 'I': 1}",123360,10,265,4,6,3.7,6.5,0.49,3.23,10,2.35,"{'media_pontos_mandante': 4.02, 'media_pontos_visitante': 2.46, 'media_minutos_jogados': 83, 'minutos_jogados': 104, 'scouts': {'media': {'FS': 1, 'A': 0.2, 'I': 0.1, 'DS': 0.5, 'FC': 0.7, 'FF': 0.8, 'FD': 0.6}, 'mandante': {'FS': 8, 'A': 2, 'I': 1, 'DS': 1, 'FC': 6, 'FF': 4, 'FD': 3}, 'visitante': {'FS': 2, 'DS': 4, 'FC': 1, 'FF': 4, 'FD': 3}}}",cauly,Cauly,Cauly,Cauly Oliveira Souza,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ruw71T7.png,Nulo
183,"{'CA': 2, 'DS': 6, 'FC': 9, 'FD': 1, 'FS': 4, 'FT': 1, 'SG': 1}",61106,10,265,2,7,4.8,3.87,-0.31,4.57,3,3.09,"{'media_pontos_mandante': 4.8, 'media_pontos_visitante': 4.45, 'media_minutos_jogados': 87, 'minutos_jogados': 104, 'scouts': {'media': {'SG': 0.33, 'FS': 1.33, 'FT': 0.33, 'DS': 2, 'FC': 3, 'CA': 0.67, 'FD': 0.33}, 'mandante': {'FT': 1, 'DS': 2, 'FC': 6, 'FD': 1}, 'visitante': {'SG': 1, 'FS': 4, 'DS': 4, 'FC': 3, 'CA': 2}}}",cicinho,Cicinho,Cicinho,Neuciano de Jesus Gusmão,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Provável
184,{},116450,10,265,2,2,0.0,3.0,0.0,0.0,0,3.96,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",andre,André,André,André Dhominique Queiroz Santiago Da Silva,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kQwNdzi.png,Dúvida
185,"{'CA': 3, 'DS': 11, 'FC': 10, 'FD': 1, 'FS': 12, 'SG': 2}",96725,10,282,2,6,0.0,7.52,0.0,4.07,6,6.11,"{'media_pontos_mandante': 2.03, 'media_pontos_visitante': 6.1, 'media_minutos_jogados': 70, 'minutos_jogados': 108, 'scouts': {'media': {'SG': 0.33, 'FS': 2, 'DS': 1.83, 'FC': 1.67, 'CA': 0.5, 'FD': 0.17}, 'mandante': {'FS': 4, 'DS': 4, 'FC': 3, 'CA': 1, 'FD': 1}, 'visitante': {'SG': 2, 'FS': 8, 'DS': 7, 'FC': 7, 'CA': 2}}}",saravia,Saravia,Saravia,Renzo Saravia,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_9Q6Ch0T.png,Nulo
186,{},96652,10,282,4,6,0.0,9.0,0.0,0.0,0,12.48,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",allan,Allan,Allan,Allan Rodrigues de Souza,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AuDILu6.png,Nulo
187,"{'CA': 2, 'DS': 4, 'FC': 10, 'FD': 3, 'FF': 3, 'FS': 28, 'G': 1, 'I': 4}",101314,10,265,5,5,0.0,6.15,0.0,3.04,9,3.55,"{'media_pontos_mandante': 4.08, 'media_pontos_visitante': 2.22, 'media_minutos_jogados': 67, 'minutos_jogados': 72, 'scouts': {'media': {'FS': 3.11, 'G': 0.11, 'I': 0.44, 'DS': 0.44, 'FC': 1.11, 'CA': 0.22, 'FF': 0.33, 'FD': 0.33}, 'mandante': {'FS': 13, 'G': 1, 'I': 1, 'DS': 2, 'FC': 5, 'CA': 1, 'FF': 1, 'FD': 1}, 'visitante': {'FS': 15, 'I': 3, 'DS': 2, 'FC': 5, 'CA': 1, 'FF': 2, 'FD': 2}}}",ademir,Ademir,Ademir,Ademir da Silva Santos Júnior,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_AYMEKre.png,Contundido
188,{},98706,10,282,4,5,0.0,5.16,0.0,0.0,1,7.02,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 26, 'minutos_jogados': 26, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",pedrinho,Pedrinho,Pedrinho,Pedro Victor Delmino da Silva,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_QTjI0Vv.png,Contundido
189,"{'DE': 33, 'FS': 1, 'GS': 16, 'SG': 2}",85004,10,265,1,7,3.0,6.21,-0.49,2.75,10,1.9,"{'media_pontos_mandante': 1.2, 'media_pontos_visitante': 4.3, 'media_minutos_jogados': 102, 'minutos_jogados': 104, 'scouts': {'media': {'SG': 0.2, 'FS': 0.1, 'DE': 3.3, 'GS': 1.6}, 'mandante': {'DE': 15, 'GS': 9}, 'visitante': {'SG': 2, 'FS': 1, 'DE': 18, 'GS': 7}}}",marcos-felipe,Marcos Felipe,M. Felipe,Marcos Felipe de Freitas Monteiro,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,Provável
190,"{'CA': 1, 'CV': 1, 'DS': 23, 'FC': 8, 'FF': 4, 'FS': 10}",90449,10,265,4,7,6.1,7.05,0.8,3.68,8,3.92,"{'media_pontos_mandante': 3.82, 'media_pontos_visitante': 3.52, 'media_minutos_jogados': 96, 'minutos_jogados': 104, 'scouts': {'media': {'FS': 1.25, 'DS': 2.88, 'FC': 1, 'CA': 0.12, 'CV': 0.12, 'FF': 0.5}, 'mandante': {'FS': 6, 'DS': 14, 'FC': 7, 'CA': 1, 'CV': 1, 'FF': 2}, 'visitante': {'FS': 4, 'DS': 9, 'FC': 1, 'FF': 2}}}",rezende,Rezende,Rezende,Júlio César Rezende de Miranda,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,Provável
191,"{'CA': 1, 'DS': 6, 'FC': 4, 'FF': 1, 'FS': 4, 'FT': 1, 'G': 1, 'SG': 2}",91772,10,265,3,7,1.7,5.2,-0.57,3.6,8,1.05,"{'media_pontos_mandante': 3.04, 'media_pontos_visitante': 3.4, 'media_minutos_jogados': 96, 'minutos_jogados': 104, 'scouts': {'media': {'SG': 0.22, 'FS': 0.44, 'FT': 0.11, 'G': 0.11, 'DS': 0.67, 'FC': 0.44, 'CA': 0.11, 'FF': 0.11}, 'mandante': {'FS': 1, 'FT': 1, 'G': 1, 'DS': 4, 'FC': 3, 'CA': 1, 'FF': 1}, 'visitante': {'SG': 2, 'FS': 3, 'DS': 2, 'FC': 1}}}",david-duarte,David Duarte,D. Duarte,David de Duarte Macedo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,Provável
192,{},104383,10,282,1,6,0.0,3.0,0.0,0.0,0,3.96,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",matheus-mendes,Matheus Mendes,M. Mendes,Matheus Mendes Werneck de Oliveira,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,Nulo
