,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral
0,Palmeiras,1.9014403006851934,0.8274512526150017,0.9672299367841652,1.1855400526469193,1.4343351187346793,1.0064956526309605,1.0739890480701917,-0.21831011586275406,0.4278394661037188
1,Atlético-MG,1.5277245357523366,0.8730724074733998,0.9104307158208199,0.8377601016855944,1.2190776257865783,0.8554162545794971,0.6546521282789368,0.07267061413522546,0.3636613712070812
2,Fortaleza,1.5630476972960823,0.9170341767426667,1.3536680112579578,1.438944105421821,1.4583578542770201,1.1779891410822438,0.6460135205534155,-0.08527609416386328,0.2803687131947763
3,Athletico-PR,1.7721298315846938,0.914724168251501,1.006679021031704,1.382317069166193,1.3894044263081988,1.148520618708847,0.8574056633331928,-0.375638048134489,0.2408838075993518
4,Bragantino,1.6052315404139341,0.9017248220510559,1.079572278455437,1.384378469843626,1.3424019094346855,1.1430516459473408,0.7035067183628783,-0.304806191388189,0.19935026348734475
5,Cruzeiro,1.3603290431345032,0.9139006382785221,1.157661306494928,1.2396252996341333,1.2589951748147157,1.0767629689563276,0.4464284048559811,-0.08196399313920533,0.18223220585838806
6,Botafogo,1.6150960209469714,0.7331630505163721,0.8834800889489491,1.485349616405402,1.2492880549479604,1.1092563334608871,0.8819329704305993,-0.601869527456453,0.1400317214870732
7,Bahia,1.4411181039302825,0.9174225276707318,0.9436927679607069,1.26142941600226,1.1924054359454948,1.089425971836496,0.5236955762595507,-0.3177366480415532,0.10297946410899872
8,São Paulo,1.547288872869708,0.9462460531360425,0.9152603201247268,1.3281155703461849,1.2312745964972174,1.1371808117411137,0.6010428197336656,-0.4128552502214581,0.09409378475610364
9,Cuiabá,1.0992954748678674,0.6545275821202217,1.0288560720184452,1.481868281357571,1.0640757734431563,1.0681979317388963,0.4447678927476457,-0.4530122093391258,-0.0041221582957400305
10,América-MG,1.2502265329892748,1.0944780359075197,1.2861687285991603,1.4618440034711502,1.2681976307942175,1.278161019689335,0.1557484970817551,-0.17567527487198986,-0.009963388895117387
11,Fluminense,1.182109110125218,0.9732467365043667,1.1896673515823681,1.5756788043392058,1.185888230853793,1.2744627704217861,0.20886237362085125,-0.3860114527568377,-0.0885745395679931
12,Grêmio,1.6254329540521306,1.3646152029720329,1.2345437876453411,1.7410023154231806,1.429988370848736,1.5528087591976067,0.26081775108009775,-0.5064585277778395,-0.12282038834887077
13,Goiás,1.1737002827870728,0.9586015873687795,0.934100917835464,1.5417533141630486,1.0539006003112683,1.250177450765914,0.2150986954182933,-0.6076523963275846,-0.1962768504546457
14,Vasco,1.1995133475787172,0.9392504595774185,0.7961628047574462,1.5301344911197194,0.9978380761680816,1.2346924753485689,0.2602628880012987,-0.7339716863622733,-0.23685439918048723
15,Corinthians,1.2619040402016632,1.0066150727434116,0.7328172935937723,1.4844488859862368,0.9973606668977177,1.245531979364824,0.2552889674582517,-0.7516315923924645,-0.24817131246710633
16,Flamengo,1.4060024816697065,1.4759618601750224,1.1161104604849095,1.5562830291590914,1.261056471077308,1.516122444667057,-0.06995937850531586,-0.440172568674182,-0.2550659735897489
17,Internacional,1.1764635033475201,1.2374227034371994,0.8583903717061767,1.322928158241182,1.0174269375268485,1.2801754308391908,-0.060959200089679255,-0.4645377865350053,-0.2627484933123423
18,Coritiba,1.2014802174972858,1.184382131819162,0.9149553157428068,1.520529743950256,1.0582177666200463,1.352455937884709,0.017098085678123764,-0.6055744282074493,-0.2942381712646627
19,Santos,1.0592251445151957,1.0914262330180988,0.7373024429523151,1.462949867272375,0.8982637937337554,1.277188050145237,-0.03220108850290315,-0.72564742432006,-0.37892425641148164
