,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral
0,Palmeiras,2.1995772434390344,0.9046281809941629,1.0396462324820501,0.8824976709967979,1.6196117379605424,0.8935629259954804,1.2949490624448714,0.15714856148525225,0.726048811965062
1,Cruzeiro,1.951697715768637,0.9541369926062986,1.4576240441438408,1.237258011020851,1.704660879956239,1.0956975018135748,0.9975607231623385,0.22036603312298975,0.6089633781426642
2,Fortaleza,1.7525011965069104,0.9938162508437459,1.710623141986932,1.3414196512970302,1.7315621692469212,1.1676179510703881,0.7586849456631645,0.36920349068990177,0.5639442181765331
3,Bahia,1.7993439347506717,1.030232645693618,1.1114376765682121,1.20699762836779,1.4553908056594418,1.1186151370307038,0.7691112890570537,-0.09555995179957777,0.336775668628738
4,Botafogo,1.672154324099656,0.6639007489806352,1.1651716037769657,1.5745224486580223,1.4186629639383108,1.1192115988193287,1.0082535751190207,-0.40935084488105655,0.29945136511898207
5,Atlético-MG,1.5370163263249361,0.791494231153193,0.9149578909882198,1.0770453557512334,1.225987108656578,0.9342697934522132,0.7455220951717432,-0.1620874647630136,0.2917173152043647
6,Athletico-PR,1.4089925844096627,1.0944199254340954,1.17334654042781,1.0651657513602821,1.2911695624187365,1.0797928383971889,0.3145726589755673,0.10818078906752793,0.2113767240215476
7,Bragantino,1.496166468000937,1.0801834390003595,1.270347595056163,1.5244394162047363,1.38325703152855,1.302311427602548,0.4159830290005775,-0.2540918211485734,0.08094560392600192
8,Flamengo,1.6357256991214217,1.3596731667826876,1.3324483171544323,1.5063334208929353,1.484087008137927,1.4330032938378114,0.27605253233873417,-0.17388510373850297,0.05108371430011549
9,Cuiabá,0.9867635185823054,0.8193842406513264,1.2271194676931072,1.4924541456173044,1.1069414931377062,1.1559191931343153,0.16737927793097895,-0.2653346779241972,-0.04897769999660917
10,Fluminense,1.2551767043444308,1.057149628318016,1.4579075471461844,1.863516357333482,1.3565421257453076,1.460332992825749,0.1980270760264149,-0.40560881018729766,-0.10379086708044127
11,Vasco,1.4269178174321595,0.9467760531496849,0.84991051671332,1.727188808175177,1.1384141670727397,1.336982430662431,0.48014176428247457,-0.877278291461857,-0.19856826358969126
12,São Paulo,1.3195802789895876,1.2648697249891505,1.0620925366382448,1.5711324758975138,1.1908364078139162,1.4180011004433322,0.05471055400043712,-0.509039939259269,-0.22716469262941597
13,Santos,1.207940782878656,1.0526212523848684,0.9140848752033963,1.531601368969049,1.0610128290410261,1.2921113106769586,0.15531953049378755,-0.6175164937656528,-0.2310984816359325
14,Corinthians,1.0543679906504706,1.260591476104151,0.8072451425378088,1.2271031338172587,0.9308065665941396,1.2438473049607048,-0.2062234854536804,-0.4198579912794499,-0.3130407383665652
15,América-MG,1.2838923004021732,1.3887458260678078,1.2421099127582191,1.7746037294710675,1.2630011065801963,1.5816747777694378,-0.10485352566563466,-0.5324938167128483,-0.3186736711892415
16,Internacional,1.1602293103163874,1.384739920879193,1.0136837345068135,1.5306015270327609,1.0869565224116005,1.457670723955977,-0.22451061056280563,-0.5169177925259474,-0.3707142015443765
17,Goiás,0.8398945266430848,1.21831373539752,1.261836315993438,1.6551267376430512,1.0508654213182615,1.4367202365202856,-0.37841920875443513,-0.39329042164961314,-0.385854815202024
18,Coritiba,1.27395694057882,1.5245918781200625,0.7219541094663718,1.505662231768018,0.997955525022596,1.51512705494404,-0.25063493754124244,-0.7837081223016461,-0.5171715299214441
19,Grêmio,1.613329935847133,1.6660501654496707,0.9052800343318694,1.9218431910803737,1.2593049850895013,1.7939466782650222,-0.05272022960253775,-1.0165631567485043,-0.5346416931755209
