,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
1,Flamengo,2.2222222222222223,0.5555555555555556,1.0,1.3
2,Botafogo,1.0,1.1111111111111112,0.8181818181818182,1.3636363636363635
3,Corinthians,1.2,0.3,1.1,1.9
4,Fluminense,2.1,1.1,1.2,1.0
5,Palmeiras,1.9,0.7,1.5555555555555556,0.5555555555555556
6,São Paulo,1.8888888888888888,1.3333333333333333,1.0,1.2727272727272727
7,Santos,1.5454545454545454,0.9090909090909091,0.7777777777777778,0.7777777777777778
8,Bragantino,1.6363636363636365,0.8181818181818182,1.3333333333333333,1.4444444444444444
9,Atlético-MG,1.5,1.0,1.1,1.3
10,Internacional,2.0,1.1,1.0,0.9
11,Juventude,0.6,1.3,0.8,1.9
12,Goiás,1.3,1.1,0.9,1.4
13,Athletico-PR,1.5,0.8,0.9,1.2
14,Coritiba,1.4,0.9,0.8,2.1
15,Avaí,1.6,1.4,0.5,1.9
16,América-MG,1.2,1.0,0.4,1.3
17,Ceará,1.1,1.2,0.9,0.9
18,Fortaleza,0.4,0.6,1.2,1.6
19,Atlético-GO,1.0,0.9,0.8,2.1
20,Cuiabá,0.7,0.6,0.7,1.4
