,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
1,Flamengo,1.25,1.0,1.25,1.25
2,Botafogo,1.5,1.75,1.0,0.8
3,Corinthians,1.25,0.5,1.1666666666666667,1.1666666666666667
4,Fluminense,0.75,1.0,0.8,0.8
5,Palmeiras,1.6,0.6,1.6666666666666667,0.3333333333333333
6,São Paulo,2.5,1.0,1.0,1.4
7,Santos,1.6,0.6,0.75,1.0
8,Bragantino,1.2,1.0,0.75,1.0
9,Atlético-MG,1.6,1.0,1.0,0.75
10,Internacional,1.25,1.0,1.0,0.8
11,Juventude,0.4,1.2,1.25,1.75
12,Goiás,1.25,1.0,1.0,1.6
13,Athletico-PR,1.0,0.8,0.5,1.75
14,Coritiba,2.0,0.5,1.0,1.6
15,Avaí,1.6,1.2,0.5,1.75
16,América-MG,2.0,0.75,0.6,1.4
17,Ceará,1.0,1.75,1.0,1.0
18,Fortaleza,0.4,1.0,1.0,1.5
19,Atlético-GO,0.8,0.6,0.5,1.75
20,Cuiabá,0.6,0.6,1.0,1.6
