,nome,slug,apelido,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,clube,posicao,status_pre,FF,FS,G,A,SG,DE,DS,DP,FC,GC,GS,FD,CA,FT,I,PP,CV,PC,PI,PS,preco_open,ano,home_dummy,opponent,team_goals,opp_goals,match_id,adversario_nome,pontos_ofensivos_decisivos,pontos_ofensivos_finalização,pontos_ofensivos_totais,ieo_gm,ieo_gm_mean,finalizacoes_num,iao_gm,iao_gm_mean,desarmes_perc,ied_gm,ied_gm_mean,ieg_gm,ieg_gm_mean,GS_por_finalizacao,DE_por_finalizacao,ippc_gm,ippc_gm_mean,iro_gm,irp_gm
0,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,1,264,4,7,-1.1,3.41,-2.59,-1.1,1,Corinthians,MEI,Provável,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,6.0,2021,1,373,0.0,1.0,270152,Atlético-GO,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,50.0,27.500000000000004,27.500000000000004,25.71428571428571,25.71428571428571,0.0,0.0,-0.18333333333333335,-0.18333333333333335,7.241666666666667,0.20836138198090762
1,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,2,264,4,2,0.7,2.42,-0.99,-0.2,2,Corinthians,MEI,Dúvida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,2021,0,327,1.0,0.0,270162,América-MG,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,27.586206896551722,27.543103448275865,22.727272727272727,24.22077922077922,0.0,0.0,0.20527859237536655,0.010972629521016602,7.241666666666667,0.20836138198090762
2,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,3,264,4,6,1.9,2.73,0.31,0.5,3,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.42,2021,0,275,1.0,1.0,270172,Palmeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.484848484848484,34.523685127133405,0.0,16.147186147186147,0.0,0.0,0.7851239669421487,0.26902307532806063,7.241666666666667,0.20836138198090762
3,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,4,264,4,6,0.1,2.36,-0.37,0.4,4,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.73,2021,1,280,1.0,2.0,270183,Bragantino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.148936170212767,30.679997887903244,5.714285714285714,13.53896103896104,0.0,0.0,0.03663003663003663,0.21092481565355461,7.241666666666667,0.20836138198090762
4,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,5,264,4,7,-1.8,1.76,-0.6,-0.04,5,Corinthians,MEI,Provável,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.36,2021,0,265,0.0,0.0,270197,Bahia,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,25.0,18.75,28.293998310322593,18.51851851851852,14.534872534872534,0.0,0.0,-0.7627118644067797,0.016197479641487746,7.241666666666667,0.20836138198090762
5,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,6,264,4,6,0.7,2.08,0.32,0.08,6,Corinthians,MEI,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.76,2021,1,292,2.0,1.0,270202,Sport,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,24.242424242424242,27.61873596567287,5.555555555555555,13.038319704986371,0.0,0.0,0.3977272727272727,0.07978577848911857,7.241666666666667,0.20836138198090762
6,0,0,0,78715,7,264,4,6,0.0,2.08,0.0,0.08,6,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2021,0,266,1.0,1.0,270231,Fluminense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.684210526315788,27.05666090290757,0.0,11.175702604274033,0.0,0.0,0.0,0.06838781013353021,7.241666666666667,0.20836138198090762
7,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,1,373,3,7,4.2,5.01,2.01,4.2,1,Atlético-GO,ZAG,Provável,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2021,0,264,1.0,0.0,270152,Corinthians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,42.5,42.5,28.57142857142857,28.57142857142857,0.0,0.0,1.4000000000000001,1.4000000000000001,3.5380000000000003,6.603687753987992
8,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,2,373,3,7,4.8,6.84,1.83,4.5,2,Atlético-GO,ZAG,Provável,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.01,2021,1,276,2.0,0.0,270169,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,44.827586206896555,43.66379310344828,27.27272727272727,27.922077922077918,0.0,0.0,0.9580838323353293,1.1790419161676646,3.5380000000000003,6.603687753987992
9,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,3,373,3,7,0.0,6.84,0.0,4.5,2,Atlético-GO,ZAG,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,2021,0,1371,,,270180,Cuiabá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.303030303030305,39.21020550330895,0.0,18.614718614718612,0.0,0.0,0.0,0.7860279441117765,3.5380000000000003,6.603687753987992
10,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,4,373,3,7,4.3,7.2,0.36,4.43,3,Atlético-GO,ZAG,Provável,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.84,2021,1,356,0.0,0.0,270190,Fortaleza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.638297872340425,32.06722859556682,8.571428571428571,16.1038961038961,0.0,0.0,0.6286549707602339,0.7466847007738908,3.5380000000000003,6.603687753987992
11,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,5,373,3,7,0.1,6.51,-0.69,3.35,4,Atlético-GO,ZAG,Provável,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.1999999999999975,2021,0,293,1.0,2.0,270198,Athlético-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,29.403782876453455,18.51851851851852,16.586820586820586,0.0,0.0,0.013888888888888892,0.6001255383968904,3.5380000000000003,6.603687753987992
12,Nathanael Ananias da Silva,nathansilva,Nathan Silva,95794,6,373,3,7,10.4,8.9,2.39,4.76,5,Atlético-GO,ZAG,Provável,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.51,2021,1,266,1.0,0.0,270210,Fluminense,8.0,0.0,8.0,100.0,16.666666666666668,1.0,20.0,3.3333333333333335,25.0,21.21212121212121,28.03850593239808,8.333333333333332,15.211239377906042,0.0,0.0,1.597542242703533,0.7663616557813309,3.5380000000000003,6.603687753987992
